id,general,specialized,crisis
121,10,4,2
99,8,5,5
120,6,4,2
104,22,10,8
84,3,6,5
106,4,6,4
97,8,9,8
117,8,8,4
88,14,10,0
85,16,6,8
129,15,5,0
147,7,20,0
115,8,10,2
109,11,8,5
96,8,14,6
130,26,2,2
89,1,3,4
116,4,3,2
86,20,4,1
123,5,7,3
92,6,5,5
113,3,6,3
105,0,12,0
108,6,4,3
124,5,7,4
107,8,2,0
87,3,6,3
100,13,1,1
118,4,3,5
140,0,1,0
122,6,6,2
153,0,4,4
94,4,2,2
125,9,0,0
93,10,6,2
98,2,4,4
103,7,4,4
111,10,0,4
155,1,1,2
152,4,3,3
91,6,0,0
114,6,3,1
126,12,0,0
131,10,3,0
148,18,11,6
154,10,2,0
110,12,3,0
83,17,3,4
97,15,2,1
90,15,2,1
156,15,0,2
157,0,2,4