school_id,school_name,general_pref,spec_pref,crisis_pref,
28,American Heritage Plantation,6,8,6,20
55,American International School in Israel,0,4,4,8
23,Arlington,3,3,2,8
62,Barrington,10,8,4,22
58,Beaver Country Day,4,6,6,16
39,Belmont Hill,4,6,6,16
22,Bronx Science,0,12,12,24
63,BU Academy,5,5,4,14
45,Burr and Burton Academy,3,2,3,8
11,Cape Elizabeth,11,2,1,14
14,Clayton A. Bouton,10,10,4,24
40,Colegio Maya,7,5,8,20
26,Concord Academy,5,4,4,13
16,Fayetteville-Manlius,12,10,8,30
27,Forman ,10,4,0,14
60,Fryeburg Academy,2,2,2,6
73,Garden School,3,3,3,9
10,Guilderland,8,8,8,24
57,Hackley,9,8,8,25
47,Herricks,12,7,11,30
54,Hopkins School ,8,6,6,20
18,Hopkinton,2,2,2,6
24,Hunter College High,0,2,6,8
50,Jeju,8,2,0,10
34,King,8,8,4,20
35,Lexington,4,3,3,10
59,Lincoln,7,6,7,20
12,Meridian Academy,3,3,3,9
53,Millbrook,6,3,3,12
61,Milton Academy,8,7,5,20
38,Montclair Kimberley Academy,9,6,1,16
32,New Canaan,6,8,10,24
70,Newton North,4,5,5,14
65,Northern Highlands,16,2,2,20
19,NYC Lab,4,10,6,20
67,NYCi,3,3,0,6
31,Oceanside,20,8,2,30
68,Octorara,3,2,3,8
76,PASA,6,0,0,6
49,RIMUN,10,13,0,23
72,Saint Ann's,7,8,5,20
36,Sharon,4,4,4,12
43,St. Andrew's,2,4,4,10
30,St. George's,5,5,0,10
15,St. John's,8,8,9,25
20,St. John's Prep,10,10,5,25
74,St. Paul's,4,0,1,5
44,Stevenson,7,3,6,16
48,Stuyvesant,8,14,8,30
75,The Heschel School,5,5,5,15
29,Thomas A. Edison CTE,9,4,2,15
37,Vermont Commons,4,5,4,13
42,Western Reserve,10,4,6,20
17,Westwood,2,2,10,14
21,Wheeler,7,10,3,20
51,Whitman-Hanson,4,4,4,12
25,Wyoming Seminary,10,6,2,18